カメラ名													
日時													
メモ													
画像W/H	1036 / 784												
ID	dmy	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12
Co_髪_10		"(773, 526)"	"(773, 533)"	"(773, 536)"	"(773, 541)"	"(801, 542)"	"(804, 528)"	"(773, 526)"					
Et_BOT_01		"(174, 500)"	"(174, 505)"	"(174, 510)"	"(174, 515)"	"(200, 516)"	"(199, 500)"	"(174, 500)"					
Et_Clea_01		"(623, 525)"	"(623, 530)"	"(623, 533)"	"(623, 537)"	"(645, 537)"	"(640, 525)"	"(623, 525)"					
Et_Clea_02		"(603, 525)"	"(602, 531)"	"(603, 533)"	"(603, 539)"	"(624, 539)"	"(619, 525)"	"(603, 525)"					
Et_Clea_03		"(276, 523)"	"(276, 528)"	"(283, 531)"	"(283, 537)"	"(309, 536)"	"(297, 523)"	"(276, 523)"					
Et_Esse_未定		"(1200, 530)"	"(1200, 535)"	"(1184, 542)"	"(1184, 549)"	"(1227, 549)"	"(1250, 530)"	"(1200, 530)"					
Et_Lux_01		"(629, 549)"	"(629, 552)"	"(630, 557)"	"(630, 562)"	"(646, 563)"	"(646, 549)"	"(629, 549)"					
Et_Lux_02		"(687, 547)"	"(687, 551)"	"(687, 561)"	"(687, 565)"	"(709, 562)"	"(710, 550)"	"(687, 547)"					
Et_Lux_03		"(646, 550)"	"(646, 552)"	"(647, 557)"	"(647, 561)"	"(654, 562)"	"(655, 550)"	"(646, 550)"					
Et_Lux_04		"(656, 550)"	"(656, 552)"	"(654, 557)"	"(654, 560)"	"(683, 561)"	"(686, 550)"	"(656, 550)"					
Et_Lux_05		"(755, 551)"	"(755, 555)"	"(756, 560)"	"(756, 563)"	"(770, 565)"	"(771, 552)"	"(755, 551)"					
Et_Lux_06		"(802, 551)"	"(802, 555)"	"(802, 560)"	"(802, 563)"	"(815, 565)"	"(817, 552)"	"(802, 551)"					
Et_Lux_07		"(771, 551)"	"(771, 555)"	"(772, 560)"	"(772, 563)"	"(783, 565)"	"(783, 552)"	"(771, 551)"					
Et_Lux_08		"(785, 551)"	"(785, 555)"	"(785, 560)"	"(785, 563)"	"(798, 565)"	"(799, 552)"	"(785, 551)"					
Et_PT_03		"(398, 546)"	"(398, 550)"	"(399, 556)"	"(398, 560)"	"(421, 562)"	"(424, 546)"	"(398, 546)"					
Et_PT_04		"(424, 546)"	"(424, 550)"	"(425, 556)"	"(425, 561)"	"(455, 562)"	"(456, 546)"	"(424, 546)"					
Et_PT_05		"(263, 546)"	"(263, 550)"	"(264, 556)"	"(264, 560)"	"(287, 562)"	"(289, 546)"	"(263, 546)"					
Et_Pure_02		"(308, 400)"	"(311, 519)"	"(382, 515)"	"(381, 398)"	"(308, 400)"							
Et_Revir_01		"(656, 500)"	"(654, 521)"	"(684, 521)"	"(684, 515)"	"(687, 508)"	"(687, 500)"	"(656, 500)"					
Et_Revir_02		"(687, 500)"	"(686, 521)"	"(702, 521)"	"(702, 515)"	"(703, 508)"	"(703, 500)"	"(687, 500)"					
Et_髪_03		"(935, 529)"	"(935, 534)"	"(934, 537)"	"(934, 542)"	"(949, 544)"	"(953, 529)"	"(935, 529)"					
ID未定		"(1002, 405)"	"(970, 444)"	"(1012, 445)"	"(1027, 405)"	"(1002, 405)"							
ID未定（KNOLLエリア）		"(1126, 405)"	"(1086, 444)"	"(1275, 445)"	"(1280, 409)"	"(1126, 405)"							
Se_Cur_01		"(975, 405)"	"(940, 440)"	"(976, 441)"	"(1000, 405)"	"(975, 405)"							
Se_MIN_01		"(256, 300)"	"(289, 373)"	"(346, 373)"	"(308, 299)"	"(256, 300)"							
Se_PT_02		"(478, 547)"	"(478, 551)"	"(479, 556)"	"(479, 561)"	"(507, 562)"	"(509, 547)"	"(478, 547)"					
Se_Revir_01		"(703, 503)"	"(703, 509)"	"(703, 515)"	"(703, 521)"	"(725, 521)"	"(724, 514)"	"(735, 510)"	"(735, 503)"	"(703, 503)"			
Se_Revir_02		"(736, 502)"	"(736, 508)"	"(725, 515)"	"(725, 523)"	"(760, 521)"	"(760, 514)"	"(771, 509)"	"(771, 502)"	"(736, 502)"			
Sh_ami_01		"(571, 404)"	"(582, 439)"	"(631, 436)"	"(628, 405)"	"(571, 404)"							
Sh_ami_02		"(646, 405)"	"(649, 437)"	"(699, 439)"	"(705, 408)"	"(646, 405)"							
Sh_ASI_02		"(840, 552)"	"(840, 556)"	"(841, 561)"	"(841, 565)"	"(867, 566)"	"(870, 554)"	"(840, 552)"					
Sh_ASI_04		"(897, 554)"	"(897, 556)"	"(896, 561)"	"(896, 565)"	"(918, 566)"	"(919, 554)"	"(897, 554)"					
Sh_ASIM_01		"(771, 503)"	"(764, 520)"	"(798, 519)"	"(804, 502)"	"(771, 503)"							
Sh_ASIM_02		"(807, 503)"	"(798, 520)"	"(839, 519)"	"(848, 502)"	"(807, 503)"							
Sh_ASIM_03		"(845, 504)"	"(838, 521)"	"(870, 521)"	"(876, 503)"	"(845, 504)"							
Sh_Ato_01		"(436, 299)"	"(474, 371)"	"(526, 371)"	"(504, 299)"	"(436, 299)"							
Sh_Ato_02		"(549, 299)"	"(573, 374)"	"(618, 374)"	"(605, 299)"	"(549, 299)"							
Sh_BOT_03		"(200, 500)"	"(199, 505)"	"(199, 512)"	"(199, 516)"	"(288, 516)"	"(283, 500)"	"(200, 500)"					
Sh_BOT_詰め替え		"(15, 500)"	"(15, 505)"	"(14, 510)"	"(14, 515)"	"(174, 516)"	"(166, 500)"	"(15, 500)"					
Sh_Clea_01		"(462, 525)"	"(461, 531)"	"(469, 531)"	"(468, 536)"	"(493, 539)"	"(493, 525)"	"(462, 525)"					
Sh_Clea_02		"(526, 525)"	"(526, 531)"	"(528, 533)"	"(528, 539)"	"(556, 539)"	"(556, 525)"	"(526, 525)"					
Sh_Clea_03		"(303, 523)"	"(301, 528)"	"(313, 531)"	"(313, 537)"	"(348, 536)"	"(331, 523)"	"(303, 523)"					
Sh_Clea_04		"(381, 521)"	"(379, 526)"	"(393, 531)"	"(392, 536)"	"(436, 535)"	"(414, 521)"	"(381, 521)"					
Sh_Clea_05		"(161, 523)"	"(161, 528)"	"(171, 533)"	"(171, 537)"	"(199, 539)"	"(187, 523)"	"(161, 523)"					
Sh_Clea_05		"(114, 524)"	"(114, 529)"	"(124, 533)"	"(124, 537)"	"(153, 539)"	"(140, 524)"	"(114, 524)"					
Sh_Clea_06		"(222, 523)"	"(222, 528)"	"(234, 533)"	"(234, 537)"	"(258, 539)"	"(247, 523)"	"(222, 523)"					
Sh_Cur_01		"(780, 405)"	"(772, 442)"	"(809, 441)"	"(827, 405)"	"(780, 405)"							
Sh_Cur_02		"(875, 405)"	"(849, 445)"	"(882, 441)"	"(912, 406)"	"(875, 405)"							
Sh_Dov_02		"(1148, 575)"	"(1148, 588)"	"(1139, 605)"	"(1139, 619)"	"(1168, 619)"	"(1176, 576)"	"(1148, 575)"					
Sh_Esse_01		"(954, 528)"	"(954, 533)"	"(951, 540)"	"(951, 546)"	"(971, 546)"	"(981, 528)"	"(954, 528)"					
Sh_Esse_02		"(1001, 556)"	"(1001, 560)"	"(993, 563)"	"(993, 567)"	"(1016, 567)"	"(1027, 557)"	"(1001, 556)"					
Sh_Esse_04		"(1096, 530)"	"(1096, 535)"	"(1080, 542)"	"(1080, 549)"	"(1124, 549)"	"(1149, 530)"	"(1096, 530)"					
Sh_Esse_05		"(1106, 558)"	"(1106, 561)"	"(1097, 566)"	"(1097, 570)"	"(1122, 570)"	"(1134, 558)"	"(1106, 558)"					
Sh_Esse_07		"(1016, 528)"	"(1016, 534)"	"(1003, 541)"	"(1003, 546)"	"(1035, 547)"	"(1053, 529)"	"(1016, 528)"					
Sh_Esse_08		"(1050, 557)"	"(1050, 561)"	"(1040, 566)"	"(1040, 570)"	"(1067, 570)"	"(1082, 557)"	"(1050, 557)"					
Sh_Hone_01		"(189, 399)"	"(189, 474)"	"(226, 489)"	"(250, 402)"	"(189, 399)"							
Sh_Hone_02		"(383, 399)"	"(383, 515)"	"(435, 515)"	"(432, 398)"	"(383, 399)"							
Sh_JMO_02		"(646, 461)"	"(646, 487)"	"(649, 484)"	"(649, 462)"	"(646, 461)"							
Sh_JMO_04		"(636, 461)"	"(638, 487)"	"(646, 484)"	"(646, 462)"	"(636, 461)"							
Sh_JMO_06		"(649, 461)"	"(651, 487)"	"(673, 484)"	"(675, 462)"	"(649, 461)"							
Sh_JMO_10		"(609, 462)"	"(614, 487)"	"(638, 486)"	"(635, 463)"	"(609, 462)"							
Sh_Lux_01		"(509, 547)"	"(509, 551)"	"(510, 556)"	"(510, 561)"	"(534, 562)"	"(535, 547)"	"(509, 547)"					
Sh_Lux_03		"(567, 566)"	"(567, 579)"	"(563, 602)"	"(563, 615)"	"(617, 617)"	"(621, 566)"	"(567, 566)"					
Sh_Lux_04		"(652, 566)"	"(652, 581)"	"(646, 603)"	"(646, 617)"	"(705, 618)"	"(710, 567)"	"(652, 566)"					
Sh_Lux_05		"(710, 550)"	"(710, 554)"	"(710, 558)"	"(710, 562)"	"(722, 563)"	"(723, 551)"	"(710, 550)"					
Sh_Lux_07		"(759, 571)"	"(759, 584)"	"(755, 605)"	"(755, 619)"	"(806, 620)"	"(811, 571)"	"(759, 571)"					
Sh_Lux_08		"(866, 575)"	"(866, 588)"	"(853, 605)"	"(853, 619)"	"(922, 619)"	"(937, 576)"	"(866, 575)"					
Sh_Lux_11		"(1004, 575)"	"(1004, 588)"	"(998, 605)"	"(998, 619)"	"(1030, 619)"	"(1040, 576)"	"(1004, 575)"					
Sh_Lux_12		"(1071, 575)"	"(1071, 588)"	"(1060, 605)"	"(1060, 619)"	"(1098, 619)"	"(1111, 576)"	"(1071, 575)"					
Sh_MIN_01		"(73, 297)"	"(167, 371)"	"(216, 373)"	"(130, 298)"	"(73, 297)"							
Sh_MIN_02		"(2, 299)"	"(101, 373)"	"(166, 373)"	"(70, 299)"	"(2, 299)"							
Sh_MIN_03		"(132, 295)"	"(221, 372)"	"(272, 372)"	"(196, 297)"	"(132, 295)"							
Sh_Oct_02		"(1080, 304)"	"(988, 381)"	"(1095, 383)"	"(1200, 305)"	"(1080, 304)"							
Sh_PB_01		"(772, 465)"	"(770, 486)"	"(794, 486)"	"(802, 463)"	"(772, 465)"							
Sh_PB_03		"(845, 466)"	"(839, 488)"	"(890, 489)"	"(908, 468)"	"(845, 466)"							
Sh_PT_01		"(290, 546)"	"(290, 550)"	"(290, 556)"	"(290, 560)"	"(314, 562)"	"(316, 546)"	"(290, 546)"					
Sh_PT_02		"(360, 561)"	"(360, 575)"	"(356, 596)"	"(356, 608)"	"(404, 609)"	"(408, 562)"	"(360, 561)"					
Sh_PT_03		"(457, 566)"	"(457, 579)"	"(453, 602)"	"(453, 615)"	"(507, 617)"	"(512, 566)"	"(457, 566)"					
Sh_PT_05		"(125, 544)"	"(125, 549)"	"(132, 555)"	"(132, 560)"	"(158, 561)"	"(152, 542)"	"(125, 544)"					
Sh_PT_06		"(133, 561)"	"(133, 573)"	"(168, 596)"	"(168, 609)"	"(255, 609)"	"(230, 563)"	"(133, 561)"					
Sh_PT_07		"(232, 561)"	"(232, 573)"	"(253, 596)"	"(253, 608)"	"(313, 610)"	"(299, 562)"	"(232, 561)"					
Sh_PT_19		"(43, 558)"	"(43, 572)"	"(95, 596)"	"(95, 609)"	"(168, 610)"	"(131, 563)"	"(43, 558)"					
Sh_Pure_01		"(672, 297)"	"(675, 373)"	"(712, 372)"	"(719, 298)"	"(672, 297)"							
Sh_Pure_04		"(646, 297)"	"(651, 373)"	"(673, 373)"	"(671, 298)"	"(646, 297)"							
Sh_Revir_01		"(566, 500)"	"(566, 505)"	"(565, 512)"	"(565, 516)"	"(613, 516)"	"(610, 500)"	"(566, 500)"					
Sh_Revir_01		"(372, 500)"	"(372, 505)"	"(372, 512)"	"(372, 516)"	"(411, 516)"	"(409, 500)"	"(372, 500)"					
Sh_Revir_02		"(413, 500)"	"(411, 505)"	"(411, 512)"	"(411, 516)"	"(457, 516)"	"(455, 500)"	"(413, 500)"					
Sh_SUMI_01		"(305, 299)"	"(347, 372)"	"(406, 371)"	"(374, 299)"	"(305, 299)"							
Sh_TSUB_01		"(991, 469)"	"(964, 489)"	"(1004, 489)"	"(1029, 468)"	"(991, 469)"							
Sh_TSUB_02		"(934, 504)"	"(918, 521)"	"(965, 521)"	"(981, 505)"	"(934, 504)"							
Sh_TSUB_04		"(1065, 504)"	"(1027, 523)"	"(1147, 523)"	"(1195, 508)"	"(1065, 504)"							
Sh_TSUB_06		"(1195, 507)"	"(1153, 523)"	"(1229, 525)"	"(1260, 508)"	"(1195, 507)"							
Sh_TSUB_07		"(1261, 469)"	"(1227, 489)"	"(1255, 489)"	"(1274, 468)"	"(1261, 469)"							
Sh_TSUB_09		"(1198, 469)"	"(1161, 489)"	"(1190, 491)"	"(1223, 471)"	"(1198, 469)"							
Sh_髪_03		"(804, 526)"	"(804, 533)"	"(804, 536)"	"(804, 541)"	"(833, 542)"	"(836, 528)"	"(804, 526)"					
Sh_髪_05		"(644, 526)"	"(644, 531)"	"(644, 535)"	"(644, 540)"	"(646, 541)"	"(646, 528)"	"(644, 526)"					
Sh_髪_06		"(670, 528)"	"(670, 533)"	"(677, 536)"	"(677, 541)"	"(703, 542)"	"(702, 529)"	"(670, 528)"					
Sh_髪_10		"(739, 526)"	"(739, 533)"	"(740, 536)"	"(739, 541)"	"(770, 542)"	"(773, 528)"	"(739, 526)"					
Tr_ami_01		"(629, 405)"	"(629, 436)"	"(649, 439)"	"(647, 405)"	"(629, 405)"							
Tr_ami_02		"(704, 405)"	"(702, 439)"	"(739, 440)"	"(755, 408)"	"(704, 405)"							
Tr_ami_05		"(755, 405)"	"(740, 440)"	"(771, 442)"	"(777, 405)"	"(755, 405)"							
Tr_ASI_01		"(950, 554)"	"(950, 557)"	"(943, 562)"	"(943, 566)"	"(962, 566)"	"(972, 554)"	"(950, 554)"					
Tr_ASI_02		"(972, 555)"	"(972, 558)"	"(964, 562)"	"(964, 566)"	"(990, 566)"	"(1003, 555)"	"(972, 555)"					
Tr_ASIM_02		"(872, 503)"	"(869, 520)"	"(887, 520)"	"(902, 504)"	"(872, 503)"							
Tr_ASIM_03		"(904, 504)"	"(891, 521)"	"(918, 519)"	"(930, 505)"	"(904, 504)"							
Tr_BOT_03		"(283, 500)"	"(283, 505)"	"(282, 512)"	"(282, 516)"	"(371, 516)"	"(366, 500)"	"(283, 500)"					
Tr_Clea_01		"(584, 525)"	"(583, 530)"	"(584, 533)"	"(584, 537)"	"(602, 539)"	"(600, 525)"	"(584, 525)"					
Tr_Esse_02		"(1161, 561)"	"(1161, 563)"	"(1153, 567)"	"(1153, 570)"	"(1175, 570)"	"(1186, 561)"	"(1161, 561)"					
Tr_Esse_05		"(1186, 560)"	"(1186, 562)"	"(1175, 566)"	"(1175, 570)"	"(1205, 570)"	"(1219, 560)"	"(1186, 560)"					
Tr_Hone_01		"(252, 398)"	"(227, 494)"	"(308, 518)"	"(308, 400)"	"(252, 398)"							
Tr_Hone_02		"(434, 398)"	"(436, 515)"	"(515, 499)"	"(512, 402)"	"(434, 398)"							
Tr_Lux_01		"(566, 549)"	"(566, 552)"	"(567, 557)"	"(566, 561)"	"(593, 562)"	"(596, 549)"	"(566, 549)"					
Tr_Lux_02		"(597, 550)"	"(597, 552)"	"(597, 557)"	"(597, 561)"	"(625, 562)"	"(628, 550)"	"(597, 550)"					
Tr_Lux_03		"(738, 550)"	"(738, 554)"	"(739, 558)"	"(739, 562)"	"(752, 563)"	"(754, 551)"	"(738, 550)"					
Tr_Lux_04		"(817, 552)"	"(817, 555)"	"(818, 560)"	"(818, 563)"	"(840, 565)"	"(841, 552)"	"(817, 552)"					
Tr_PB_01		"(807, 465)"	"(801, 487)"	"(836, 487)"	"(845, 466)"	"(807, 465)"							
Tr_PB_03		"(911, 468)"	"(895, 491)"	"(955, 492)"	"(990, 469)"	"(911, 468)"							
Tr_PT_02		"(318, 546)"	"(318, 550)"	"(318, 556)"	"(318, 560)"	"(341, 562)"	"(342, 546)"	"(318, 546)"					
Tr_PT_03		"(409, 565)"	"(409, 578)"	"(404, 598)"	"(404, 612)"	"(452, 613)"	"(457, 565)"	"(409, 565)"					
Tr_PT_04		"(512, 566)"	"(512, 579)"	"(507, 602)"	"(507, 615)"	"(561, 617)"	"(566, 566)"	"(512, 566)"					
Tr_PT_06		"(345, 546)"	"(345, 550)"	"(345, 556)"	"(345, 560)"	"(368, 562)"	"(369, 546)"	"(345, 546)"					
Tr_PT_07		"(371, 546)"	"(371, 550)"	"(372, 556)"	"(372, 560)"	"(394, 562)"	"(397, 546)"	"(371, 546)"					
Tr_PT_08		"(457, 547)"	"(457, 551)"	"(458, 557)"	"(458, 561)"	"(478, 562)"	"(479, 549)"	"(457, 547)"					
Tr_PT_09		"(235, 546)"	"(235, 550)"	"(235, 556)"	"(235, 560)"	"(258, 562)"	"(261, 546)"	"(235, 546)"					
Tr_PT_10		"(152, 544)"	"(152, 549)"	"(161, 555)"	"(161, 560)"	"(182, 562)"	"(183, 544)"	"(152, 544)"					
Tr_PT_13		"(300, 561)"	"(300, 575)"	"(314, 596)"	"(314, 608)"	"(355, 610)"	"(360, 562)"	"(300, 561)"					
Tr_PT_15		"(208, 546)"	"(208, 550)"	"(209, 556)"	"(209, 560)"	"(231, 562)"	"(234, 546)"	"(208, 546)"					
Tr_PT_16		"(183, 544)"	"(183, 549)"	"(184, 555)"	"(184, 560)"	"(205, 562)"	"(206, 544)"	"(183, 544)"					
Tr_PT_18		"(85, 544)"	"(85, 549)"	"(91, 555)"	"(91, 560)"	"(111, 561)"	"(106, 542)"	"(85, 544)"					
Tr_PT_19		"(106, 544)"	"(106, 549)"	"(112, 555)"	"(112, 560)"	"(132, 561)"	"(127, 542)"	"(106, 544)"					
Tr_Pure_01		"(775, 297)"	"(751, 376)"	"(778, 376)"	"(828, 298)"	"(775, 297)"							
Tr_Pure_03		"(720, 297)"	"(710, 376)"	"(749, 374)"	"(773, 298)"	"(720, 297)"							
Tr_TSUB_01		"(1063, 469)"	"(1038, 491)"	"(1070, 491)"	"(1091, 471)"	"(1063, 469)"							
Tr_TSUB_02		"(1100, 468)"	"(1075, 489)"	"(1107, 489)"	"(1154, 469)"	"(1100, 468)"							
Tr_TSUB_03		"(1154, 468)"	"(1113, 488)"	"(1161, 488)"	"(1190, 471)"	"(1154, 468)"							
Tr_髪_01		"(919, 529)"	"(919, 534)"	"(918, 537)"	"(918, 542)"	"(932, 544)"	"(937, 529)"	"(919, 529)"					
Tr_髪_02		"(872, 528)"	"(872, 534)"	"(870, 536)"	"(870, 542)"	"(892, 544)"	"(898, 528)"	"(872, 528)"					
Tr_髪_03		"(897, 528)"	"(897, 534)"	"(896, 536)"	"(895, 542)"	"(914, 544)"	"(920, 528)"	"(897, 528)"					
謎の商品		"(823, 295)"	"(782, 372)"	"(995, 378)"	"(1082, 301)"	"(823, 295)"							
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
